DEBT,NETWORTH,HOUSES,NFIN,ASSET
12200.0,-6710.0,0.0,3900.0,5490.0
12600.0,-4710.0,0.0,6300.0,7890.0
15300.0,-8115.0,0.0,5600.0,7185.0
14100.0,-2510.0,0.0,10000.0,11590.0
15400.0,-5715.0,0.0,8100.0,9685.0
0.0,7870.0,0.0,7000.0,7870.0
0.0,6370.0,0.0,5500.0,6370.0
0.0,3570.0,0.0,2700.0,3570.0
0.0,4770.0,0.0,3900.0,4770.0
0.0,5670.0,0.0,4800.0,5670.0
63400.0,-7215.0,0.0,53000.0,56185.0
64400.0,-9310.0,0.0,51900.0,55090.0
65400.0,-10200.0,0.0,52000.0,55200.0
64400.0,-9300.0,0.0,51900.0,55100.0
63400.0,-8215.0,0.0,52000.0,55185.0
0.0,9860.0,0.0,9800.0,9860.0
0.0,9860.0,0.0,9800.0,9860.0
0.0,8640.0,0.0,8600.0,8640.0
0.0,6940.0,0.0,6800.0,6940.0
0.0,12800.0,0.0,11400.0,12800.0
97280.0,75040.0,125000.0,152500.0,172320.0
97270.0,75050.0,125000.0,152500.0,172320.0
97270.0,75045.0,125000.0,152500.0,172315.0
97270.0,75050.0,125000.0,152500.0,172320.0
97270.0,74045.0,125000.0,151500.0,171315.0
218000.0,295000.0,475000.0,498000.0,513000.0
218000.0,291900.0,475000.0,498000.0,509900.0
218000.0,294200.0,475000.0,498000.0,512200.0
218000.0,293300.0,475000.0,498000.0,511300.0
218000.0,290900.0,475000.0,497000.0,508900.0
22050.0,95790.0,25000.0,115500.0,117840.0
22050.0,96370.0,25000.0,113600.0,118420.0
22050.0,100970.0,25000.0,119400.0,123020.0
22050.0,103670.0,25000.0,117500.0,125720.0
22050.0,97270.0,25000.0,115600.0,119320.0
25430.0,4070.0,8500.0,28500.0,29500.0
26430.0,3070.0,8500.0,28500.0,29500.0
25430.0,3070.0,8500.0,27500.0,28500.0
25430.0,3070.0,8500.0,27500.0,28500.0
26430.0,3070.0,8500.0,28500.0,29500.0
50000.0,-46399.0,0.0,3600.0,3601.0
50000.0,-46399.0,0.0,3600.0,3601.0
50000.0,-46399.0,0.0,3600.0,3601.0
50000.0,-46379.0,0.0,3600.0,3621.0
50000.0,-46399.0,0.0,3600.0,3601.0
400.0,29900.0,0.0,21100.0,30300.0
400.0,29000.0,0.0,20200.0,29400.0
400.0,29900.0,0.0,21100.0,30300.0
400.0,29000.0,0.0,20200.0,29400.0
400.0,30000.0,0.0,21200.0,30400.0
314400.0,135400.0,390000.0,428600.0,449800.0
314400.0,134400.0,390000.0,427600.0,448800.0
314400.0,134400.0,390000.0,427600.0,448800.0
314400.0,134400.0,390000.0,427600.0,448800.0
314400.0,135500.0,390000.0,428700.0,449900.0
213500.0,64400.0,215000.0,249200.0,277900.0
210700.0,84200.0,215000.0,248200.0,294900.0
204820.0,49080.0,215000.0,249200.0,253900.0
211900.0,83000.0,215000.0,250200.0,294900.0
204400.0,49500.0,215000.0,249200.0,253900.0
142870.0,118980.0,0.0,181500.0,261850.0
142870.0,124810.0,0.0,181500.0,267680.0
